Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
INFINITY HEALTH,503 B Ave E,http://chcsi.org/,641-446-2383,,,Albia,IA,52531-1608,-92.80254049,41.02906861
"SUNCOAST COMMUNITY HEALTH CENTERS, INC.",16621 Lagoon Shore Blvd,,813-349-7880,,,Wimauma,FL,33598,-82.32468121,27.70924479
Northeast Valley Health Corporation,1172 N Maclay Ave,WWW.NEVHC.ORG,818-898-1388,patriciamoraga@nevhc.org,,San Fernando,CA,91340-1328,-118.4241014,34.29584975
"TREASURE COAST COMMUNITY HEALTH, INC.",1555 Indian River Blvd,,772-571-1986,,,Vero Beach,FL,32960-5639,-80.378808,27.62983581
OHIO HILLS HEALTH SERVICES,101 E Main St,ohiohillshealthservices.com,740-425-5165,jbritton@ohiohillshealthservices.com,,Barnesville,OH,43713-1005,-81.17715603,39.98786755
"UNITED COMMUNITY AND FAMILY SERVICES, INC.",47 Town St,www.ucfs.org,860-892-7042,jgranger@ucfs.org,,Norwich,CT,06360-2323,-72.09192338,41.54687144
"Sunset Park Health Council, Inc.",215 Heyward St,,718-302-7900,,,Brooklyn,NY,11206-2966,-73.95321647,40.7037343
MARIN CITY HEALTH & WELLNESS CENTER,630 Drake Ave,www.marincityclinic.com,415-339-8813,,,Sausalito,CA,94965-1107,-122.5149341,37.87351973
WellSpace Health,6015 Watt Ave,,999-999-9999,,,North Highlands,CA,95660-4294,-121.3842367,38.67663116
"Winn Community Health Center, Inc.",310 Richmond Dr,www.winnchc.org,318-648-0375,,,Alexandria,LA,71302-5121,-92.41149571,31.28684642
HORIZON HEALTH CARE INC,920 Broadway Ave,,605-260-0310,knewbold@horizonhealthcare.org,,Yankton,SD,57078-3536,-97.39681451,42.87783771
Lifelong Medical Care,445 30th St,,510-981-4100,,,Oakland,CA,94609-3337,-122.2656919,37.81916401
"Dr. Arenia C. Mallory Community Health Center, Inc.",201 E Washington St,www.mallorychc.org,662-453-4522,,,Greenwood,MS,38930-4407,-90.1798709,33.52005209
"Community Healthcare Network, Inc.",9704 Sutphin Blvd,,718-657-7088,,,Jamaica,NY,11435-4721,-73.80575541,40.69700459
Monroe County Health Department,5414 Ballard Red Sulphur Pkwy,,304-753-6960,mballard@monroehealthcenter.com,,Ballard,WV,24918,-80.78222942,37.46718765
"Clinicas del Camino Real, Inc.",4500 Tierra Rejada Rd,,805-659-1740,,,Moorpark,CA,93021-9772,-118.8988986,34.2692209
Shawnee Health Service and Development Corporation,404 S Lewis Ln,http://www.shsdc.org/index.php?page=index,618-519-9900,ckorando@shsdc.org,,Carbondale,IL,62901-3547,-89.19943266,37.72336875
COMMUNITY HEALTH ALLIANCE,680 S Rock Blvd,,775-770-3559,jwheeler@chanevada.org,,Reno,NV,89502-4113,-119.7622901,39.50203618
"PREFERRED FAMILY HEALTHCARE, INCORPORATED",1805 E Walnut St,,573-476-0030,,,Columbia,MO,65201-6425,-92.31095193,38.95305212
PANHANDLE COUNSELING & HEALTH CENTER INC,3247 US-54,,580-338-7270,dianna@insurebrown.com,,Guymon,OK,73942-4571,-101.4552554,36.69868384
"Greater Lawrence Family Health Center, Inc.",260 Park St,www.glfhc.org,978-725-7400,wbarr@glfhc.org,,Lawrence,MA,01841-2412,-71.17183353,42.71596489
"Citrus Health Network, Inc.",8400 S Palm Dr,,954-342-0355,,,Pembroke Pines,FL,33025-4536,-80.25162109,25.99754155
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",1620 Alpine Blvd,,619-662-4100,,,Alpine,CA,91901-1102,-116.7799317,32.83781769
Marias Healthcare Services Inc,670 Park Ave,www.mmcmt.org,406-434-3100,mbrauchle@mhsihealth.org,,Shelby,MT,59474-1663,-111.8504266,48.51026867
Welsh Mountain Health Centers,101 S 9th St,www.welshmountain.org,717-450-7015,,,Lebanon,PA,17042-5108,-76.42608586,40.33769701
"Healthsource Of Ohio, Inc.",150 Health Partners Cir,www.healthsourceofohio.com,937-444-2514,,,Mount Orab,OH,45154-8610,-83.94220231,39.04532467
QUALITY OF LIFE HEALTH SERVICES INC,1989 Sardis Dr,www.qolhs.org,256-593-2371,amelia.wofford@qolhs.com,,Boaz,AL,35956-2344,-86.10998777,34.17955004
"ALAMEDA, COUNTY OF",384 14th St,www.achch.org,510-891-8950,,,Oakland,CA,94612-3211,-122.2695857,37.80370715
"Healthlinc, Inc.",2323 Broadway St,www.healthlincchc.org,888-580-1060,mgrimm@healthlincchc.org,,East Chicago,IN,46312-2264,-87.44349054,41.64611276
"Gaston Family Health Services, Inc.",4431 County Home Rd,,828-256-5056,,,Conover,NC,28613-9641,-81.22948501,35.75770898
St Charles Health Council Inc,10279 Hurley Rd,N/A,276-566-4675,,,Hurley,VA,24620,-82.02087237,37.42215135
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",123 S 27th Ave,,601-450-3030,houston.ernst@semrhi.com,,Hattiesburg,MS,39401-7136,-89.33013401,31.32312153
ISLANDS COMMUNITY MEDICAL SERVICES INC,93 Pulpit Harbor Rd,,207-867-4707,,,North Haven,ME,04853-3100,-68.87631129,44.14992667
Community Action Corporation Of South Texas,700 Flournoy Rd STE 2a-medical,www.cacost.org,361-664-1417,,,Alice,TX,78332-4003,-98.04724927,27.75833881
"Citrus Health Network, Inc.",5564 SW 8th St,,305-774-1900,,,Coral Gables,FL,33134-2220,-80.28512464,25.7636326
"Community Health Center, Incorporated",398 Glenbrook Rd,,203-977-4583,mark@chc1.com,,Stamford,CT,06906-2122,-73.52159724,41.06689773
"COMMUNITY HEALTH PROGRAMS, INCORPORATED",11 Quarry Hill Rd,https://www.chpberkshires.org/,413-243-0536,,,Lee,MA,01238-9645,-73.2530818,42.28165884
BENEVOLENCE INDUSTRIES INC,611 E Imperial Hwy STE 107,www.bhchealth.org,323-732-0100,eagyemang@bhchealth.org,,Los Angeles,CA,90059-2359,-118.264661,33.93106748
"OPTIMUS HEALTH CARE, INC.",52 George E Pipkins Way # 39S,,203-696-3260,amcgoldrick@opthc.org,,Bridgeport,CT,06608-2425,-73.17964955,41.18384578
"Variety Care, Inc.",11220 N Rockwell Ave,www.varietycare.org,405-632-6688,ahorn@varietycare.org,,Oklahoma City,OK,73162-2725,-97.63844257,35.583513
East Hill Family Medical Inc,144 Genesee St STE 401,,315-253-8477,,,Auburn,NY,13021-3511,-76.56851585,42.93019732
PETALUMA HEALTH CENTER INC,6040 Commerce Blvd STE 108,,707-559-7500,,,Rohnert Park,CA,94928-2181,-122.7100109,38.35181984
St. George Medical Clinic Inc,6368 Appalachian Hwy,https://www.stgeorgeclinic.org/,304-478-3339,sgmcadministrator@citynet.net,,Davis,WV,26260-8271,-79.44599532,39.04678367
"Metro Community Provider Network, Inc.",1255 S Wadsworth Blvd,,303-761-1977,,,Lakewood,CO,80232-5406,-105.084716,39.69396999
Sonoma Valley Community Health Center,17000 Arnold Dr,,707-996-6767,,,Sonoma,CA,95476-3242,-122.505999,38.32093499
ELICA HEALTH CENTERS,3234 Marysville Blvd,,916-454-2345,tbak@elicahealth.org,,Sacramento,CA,95815-1411,-121.4322607,38.62636731
"Sunset Park Health Council, Inc.",3414 Church Ave,https://nyulangone.org/locations/flatbush-family-health-center-at-nyu-langone,718-940-9425,,,Brooklyn,NY,11203-2714,-73.94515584,40.65092236
Pomona Community Health Center,600 S Park Ave,www.pomonachc.org,909-630-7927,,,Pomona,CA,91766-3040,-117.7543195,34.05401376
RIVER VALLEY PRIMARY CARE SERVICES,4900 Kelley Highway,www.rvpcs.org,479-785-5700,jerryw@rvpcs.org,,Fort Smith,AR,72904-5000,-94.3767832,35.40329517
FAMILY HEALTH CENTERS OF SAN DIEGO INC,1234 Broadway,www.fhcsd.org,619-515-2463,,,El Cajon,CA,92021-4901,-116.9385936,32.80777819
"Central Virginia Health Services, Inc.",165 Legrande Ave,www.cvhsinc.org,434-542-5560,paulatomko@cvhsinc.org,,Charlotte Court House,VA,23923-3747,-78.63694576,37.05426296
Neighborcare Health,9600 SW 204th St Rm 1205,https://neighborcare.org/clinics/vashon-island-high-school/,206-548-7550,,,Vashon,WA,98070-6135,-122.456787,47.42200747
"Chiricahua Community Health Centers, Inc.",1127 N F Ave,,520-459-1429 x41429,,,Douglas,AZ,85607-1918,-109.5529079,31.34637998
Altura Centers For Health,16686 Road 168,www.altura.org,559-686-9097,,,Woodville,CA,93257-9246,-119.1967025,36.09266898
WINTON HILLS MED & HeaLTH CTR,4515 Tower Ave,winmedinc.org,513-242-1033,,,Cincinnati,OH,45217-1723,-84.4965331,39.16559166
"SHERIDAN, COUNTY OF",826 18th St STE A,http://www.sheridancountyhospital.com/slide-view/medical-clinic/,785-675-3018,ckoster@schcmed.com,,Hoxie,KS,67740-4371,-100.432676,39.35444956
BIGHORN VALLEY HEALTH CENTER INC,1 S Mondell Ave,www.onechc.org,406-343-2722,,,Wyola,MT,59089-7750,-107.3958723,45.12964647
DAVID RAINES COMMUNITY HEALTH CENTER INC,3021 W 70th St,davidraineschc.org,318-227-3350,,,Shreveport,LA,71108-4603,-93.78726971,32.44193273
RAINELLE MEDICAL CENTER,273 Spartan Ln RM E101,,304-438-6188,,,Lewisburg,WV,24901-9738,-80.47142258,37.77593812
"Community Health Service Agency, Inc. Of Hunt County, The",920 N Center St,carevide.org,903-583-6155,,,Bonham,TX,75418-3751,-96.17779368,33.58227222
"Intercommunity, Inc.",869 Forbes St,,860-569-5900,kimbeauregard@intercommunityct.org,,East Hartford,CT,06118-1958,-72.60553099,41.75507499
CareSTL Health,4248 Cottage Ave,www.carestlhealth.org,314-371-1048,pamela.meanes@carestlhealth.org,,Saint Louis,MO,63113-2545,-90.23866325,38.65988525
"Asian Pacific Health Care Venture, Inc.",180 Union Pl,www.aphcv.org,323-644-3885,,,Los Angeles,CA,90026-5715,-118.265386,34.06188086
"COMMUNITY HEALTH SYSTEMS, INC.",1 PHYSICIANS PLAZA,http://www.accesshealthwv.com,304-252-8324,,,Lochgelly,WV,25866,-81.14684999,38.0104
"ALAMEDA, COUNTY OF",2272 San Pablo Ave,none,510-636-4236,,,Oakland,CA,94612-1321,-122.274061,37.81336502
Presbyterian Medical Services,1200 N Paseo de Onate,,505-747-7400,,,Espanola,NM,87532-2687,-106.0875867,36.00679102
"Change, Incorporated",1400 Adams St,,304-797-7733,,,Steubenville,OH,43952-2678,-80.63022302,40.36011411
AMISTAD COMMUNITY HEALTH CENTER.,1533 S Brownlee Blvd,https://amistadchc.com/,361-884-2242,dherrero@amistadchc.org,,Corpus Christi,TX,78404-3131,-97.40472795,27.775177
"Community Health Center, Incorporated",1355 N Broad St,,203-639-8403,mark@chc1.com,,Meriden,CT,06450-2438,-72.77821471,41.55586921
MORRIS HEIGHTS HEALTH CENTER INC,85 W Burnside Ave,www.mhhc.org,718-716-4400,,,Bronx,NY,10453-4015,-73.91035343,40.85470168
HEALTHY CONNECTIONS INC,136 Health Park Dr,www.healthy-connections.org,479-437-3449,,,Mena,AR,71953-9072,-94.20648991,34.59202084
"Universal Medical Services, Inc.",1801 Nicollet Ave,www.axismedicalcenter.org,612-823-2947,tjames@axismedicalcenter.org,,Minneapolis,MN,55403-3791,-93.27776255,44.965022
LONE STAR COMMUNITY HEALTH,227 State Highway 75 N,www.lonestarfamily.org,936-539-4004,,,Huntsville,TX,77320-3171,-95.56618707,30.7299873
"Grace Community Health Center, Inc.",KY-699,,606-279-3850,michael.stanley@gracehealthky.org,,Yeaddiss,KY,41777,-83.20704935,37.05245981
"LAKE, COUNTY OF",18698 W Peterson Rd,,847-377-8180,,,Libertyville,IL,60048-1052,-87.99780644,42.30722226
JEWISH RENAISSANCE MEDICAL CENTER,275 Hobart St,www.jrmc.us,732-376-9333,dstjohn@jrmc.us,,Perth Amboy,NJ,08861-3396,-74.26968486,40.50808174
"Lakeshore Community Health Care, Inc",3508 N 21st St Rm 113,,920-459-0947,,,Sheboygan,WI,53083-2807,-87.7347493,43.7813482
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",855 Third Ave Ste 2200,,619-662-4100,,,Chula Vista,CA,91911-1353,-117.0723071,32.62193767
RITCHIE COUNTY PRIMARY CARE ASSOCIATION,1513 Blizzard Dr,,304-643-4005,,,Parkersburg,WV,26101-6424,-81.55057408,39.2430971
MCR HEALTH INC,300 Riverside Dr E STE 2010,www.mcrhs.org,941-776-4000,pcarnegie@mcrhs.org,,Bradenton,FL,34208-1023,-82.56046535,27.49834345
HO-OLA LAHUI HAWAII INC,2975 Haleko Rd Ste 308,,808-240-0113,,,Lihue,HI,96766-1366,-159.372063,21.97378151
HEALTH FIRST BLUEGRASS,496 Southland Dr,,859-288-2425,,,Lexington,KY,40503-1827,-84.52846371,38.02065151
"Grace Community Health Center, Inc.",Henderson Settlement Loop,www.gracechc.com,606-337-2921,michael.stanley@gracehealthky.org,,Frakes,KY,40940,-83.92979469,36.6423709
"SANTA CRUZ, COUNTY OF",1080 Emeline Ave,www.santacruzhealth.org,831-454-4100,,,Santa Cruz,CA,95060-1966,-122.0176527,36.99178296
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",1911 Read Rd,www.semrhi.com,601-251-3500,houston.ernst@semrhi.com,,Picayune,MS,39466-2730,-89.6625975,30.54212098
KING COUNTY,2601 SW Kenyon St RM 287,https://dennyms.seattleschools.org/,206-252-9000,,,Seattle,WA,98126-3562,-122.365847,47.53185253
"Community Health Centers, Inc.",225 E 7th St,WWW.CHCFL.ORG,407-905-8827,,,Apopka,FL,32703-5327,-81.50673096,28.66950751
HACKLEY COMMUNITY CARE CENTER INC,80 W Southern Ave,,231-733-6680,,,Muskegon,MI,49441-2541,-86.24665496,43.2242375
LITTLE RIVER MEDICAL CENTER INC,1075 Mr Joe White Ave UNIT 101,www.lrmcenter.com,843-663-8067,pdavis@lrmcenter.com,,Myrtle Beach,SC,29577-5658,-78.88638701,33.69993109
"Central Florida Health Care, Inc.",903 Lowry Ave,http://www.cfhconline.org/,863-519-8900,mpickos@cfhconline.org,,Lakeland,FL,33801-7544,-81.91194845,28.03290037
SOUTHWEST UTAH COMMUNITY HEALTH CEN TER,245 E 680 S,www.familyhc.org,435-865-1387,lori@familyhc.org,,Cedar City,UT,84720-3593,-113.0575422,37.66542876
Kansas City CARE Clinic,3515 Broadway Blvd,www.kccare.org,816-753-5144,,,Kansas City,MO,64111-2501,-94.59035048,39.06335297
St Charles Health Council Inc,,N/A,276-762-0770,,,Saint Paul,VA,24283,-82.30966499,36.909005
"Mary's Center For Maternal And Child Care, Inc.",1350 Upshur St NW,,202-671-6270,,,Washington,DC,20011-5635,-77.03140009,38.94163148
EAU CLAIRE COOPERATIVE HEALTH CENTER,755 US Highway 21 S,www.ecchc.org,803-337-2920,,,Ridgeway,SC,29130-6844,-80.95214334,34.29847249
"Mercy Health Services, Inc.",600 Liberty Pike,,615-790-0892,cindys@mercytn.org,,Franklin,TN,37064-2923,-86.84986166,35.92898691
JESSIE TRICE COMMUNITY,560 NW 151st St,www.jtchs.org,305-681-5721,jjlawrence@jtchc.org,,Miami,FL,33169-6613,-80.20881429,25.91313788
ALTAPOINTE HEALTH SYSTEMS INC,9518 US Highway 231,accordia-health.org,256-377-8008,drparker@altapointe.org,,Rockford,AL,35136-5214,-86.22064805,32.88692974
Peninsula Community Health Services,5454 Kitsap Way RM 343,www.pchweb.org,360-377-3776,kjennings@pchsweb.org,,Bremerton,WA,98312-2240,-122.6877399,47.5714532
"LAKES COMMUNITY HEALTH CENTER, INC., THE",10465 E US Highway 2,www.northlakesclinic.org,888-834-4551,,,Poplar,WI,54864-9203,-91.76028696,46.58480798
Community Action Corporation Of South Texas,"1311 E General Cavazos Blvd, Ste C",,361-592-3237,,,Kingsville,TX,78363-7123,-97.85078163,27.49136849
"COOK AREA HEALTH SERVICES, INC.",239 Mckinley Ave,www.scenicrivershealthservices.org,218-471-1800,,,Eveleth,MN,55734-1606,-92.53488177,47.46217531
INSTITUTE FOR URBAN FAMILY HEALTH,279 Main St,www.institute2000.org,845-255-2930,inewman@institute.org,,New Paltz,NY,12561-1623,-74.06812096,41.7433876
Esperanza Health Centers,4700 S California Ave,,773-584-6200,,,Chicago,IL,60632-2016,-87.69420888,41.80749294
LAWNDALE CHRISTIAN HEALTH CENTER,4952 W Madison St,,872-588-3000,,,Chicago,IL,60644-3541,-87.74963999,41.88052421
"Citrus Health Network, Inc.",920 SW 76th Ave,,305-261-2031,,,Miami,FL,33144-4430,-80.31825747,25.76107398
COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,7033 US Highway 23,,740-947-7726,lbellomy@pikecac.org,,Piketon,OH,45661-9701,-83.01952308,39.05656313
"Cumberland Family Medical Center, Inc.",10471 Leitchfield Rd,,270-862-3924,tantle@cfmcky.com,,Cecilia,KY,42724-9536,-86.01895796,37.6168035
SOUTHCENTRAL FOUNDATION,2516 Mountain Circle,www.scf.cc,907-850-2229,grantsdocs@scf.cc,,Pedro Bay,AK,99647,-154.11186,59.78509
Family Health Centers,626 2nd Ave S,myfamilyhealth.org,509-422-6705,dabel@myfamilyhealth.org,,Okanogan,WA,98840-9766,-119.584617,48.3608111
"Eastern Shore Rural Health System, Incorporated",5219 Lankford Hwy,,757-824-5676,tturman@esrh.org,,New Church,VA,23415-3332,-75.53251061,37.96551762
INFINITY HEALTH,119 S Fillmore St,www.chcsi.org,855-466-0822,,,Mount Ayr,IA,50854-1823,-94.23882243,40.71406722
"Northwest Michigan Health Services, Inc.",10767 E Traverse Hwy,www.nmhsi.org,231-947-1112,,,Traverse City,MI,49684-6219,-85.64681906,44.77560867
HEALTHY CONNECTIONS INC,900 Martin Luther King Blvd STE 200,,501-332-7575,,,Malvern,AR,72104-2217,-92.82745034,34.37691868
FREDERIKSTED HEALTH CARE INC,,fhc-inc.net,340-772-1992,mwebster@fhc-inc.net,,Frederiksted,VI,840,-64.88218499,17.71228
ARCARE,401 East St,www.arcare.net,870-347-2534,,,Texarkana,AR,71854-6507,-94.03050775,33.41682523
COMMUNITY MEDICINE FOUNDATION IN,835 Lancaster Hwy,,803-325-7744,,,Chester,SC,29706-6761,-81.17749787,34.71140902
Mobile County Board of Health,2601 Dauphin Island Pkwy,familyhealthalabama.org,251-445-3450,,,Mobile,AL,36605-3472,-88.07512129,30.61830528
DAVID RAINES COMMUNITY HEALTH CENTER INC,4331 Henry St,,318-227-3342,,,Shreveport,LA,71109-6820,-93.81188466,32.46438027
Clinica Campesina Family Health Services,8990 Washington St,WWW.CLINICA.ORG,720-929-1655,,,Thornton,CO,80229-4537,-104.975104,39.85955901
Western Maryland Health Care Corporation,1027 Memorial Dr,,301-533-3300,bbailey@mtnlaurel.org,,Oakland,MD,21550-4343,-79.39141495,39.41623483
"Escambia Community Clinics, Inc.",1295 W Fairfield Dr,healthcarewithinreach.org,850-436-4630,apapadelias@healthcarewithinreach.org,,Pensacola,FL,32501-1107,-87.23307919,30.44500119
"Central Mississippi Civic Improvement Association, Inc.",145 Raymond Rd,www.jackson-hinds.com,601-372-1800,,,Jackson,MS,39204-3802,-90.21162792,32.28290858
EL CENTRO DEL BARRIO,1034 W County Line Rd,www.centromedsa.com,210-922-7000,,,New Braunfels,TX,78130-8338,-98.11779179,29.67143487
EL CENTRO FAMILY HEALTH,60 CR-75,www.ecfh.org,505-689-2461,,,Truchas,NM,87578,-105.8079686,36.04274746
"Summit Community Care Clinic, Inc.",158 School Rd,www.summitclinic.org,970-368-4040,,,Frisco,CO,80443,-106.0895456,39.58274263
"Community Health Care, Inc.",2200 3rd Ave,,309-779-2035,,,Rock Island,IL,61201-8840,-90.56818637,41.50987561
Sunset Community Health Center,2060 W 24th St,https://mysunsethealth.org/,928-819-8999,,,Yuma,AZ,85364-6123,-114.644548,32.68399753
"La Clinica Del Valle Family Health Care Center, Inc.",1307 W Main St,www.laclinicahealth.org,541-535-6239,,,Medford,OR,97501-2936,-122.8868939,42.32366684
"COMMUNITY MEDICAL WELLNESS CENTERS, USA",1360 E Anaheim St STE 101,,562-270-0324,mspalliero@cmwcusa.org,,Long Beach,CA,90813-5515,-118.17444,33.78258252
"DIVERSITY HEALTH CENTER, INC.",213 N McDonald St,diversityhc.org,912-877-2227,,,Ludowici,GA,31316-6075,-81.74851181,31.71543341
"Gaston Family Health Services, Inc.",409 S Oakland St,www.kintegra.org,704-874-9005,,,Gastonia,NC,28052-4312,-81.1800187,35.25870218
"Upstate Family Health Center, Inc.",381 Madison St,,315-624-9473,john.milligan@ufhcinc.org,,Waterville,NY,13480-1115,-75.39276794,42.92401475
VALLEY HEALTHCARE SYSTEM INC,1458 Benning Dr Rm 201,www.valleyhealthcolumbus.com,706-322-9599,lellc@ymail.com,,Columbus,GA,31903-2200,-84.94517598,32.42597677
Lifelong Medical Care,3501 San Pablo Ave,,510-635-4809,,,Oakland,CA,94608-4255,-122.2783422,37.82600951
"SAN JUDAS COMMUNITY HEALTH CENTER, INC.",2972 Wilshire Blvd Unit 2,,213-484-0000,MVerdian@sanjudaschc.org,,Los Angeles,CA,90010-1101,-118.286213,34.0617825
"Big Springs Medical Association, Inc",109 Leroux St,,573-663-2313,,,Doniphan,MO,63935-1038,-90.82428955,36.63134413
"Cumberland Family Medical Center, Inc.",360 Keen St,www.cumberlandfamilymedical.com,270-864-2889,tantle@cfmcky.com,,Burkesville,KY,42717-7915,-85.36951856,36.7841112
"Community Health Centers, Inc.",7900 Forest City Rd,,407-905-8827,,,Orlando,FL,32810-3002,-81.41516353,28.62861237
"Delta Health Center, Inc.",702 Martin Luther King St,www.deltahealthcenter.org,662-741-8800,,,Mound Bayou,MS,38762-9314,-90.73764498,33.88145998
Rkm Primary Care,203 Allendale Dr,,222-389-1311,johnette.kay@rkmcare.org,,Port Allen,LA,70767-3219,-91.22274671,30.45057849
"Southern California Medical Center, Inc.",502 W Holt Ave,http://scmedcenter.org/,909-620-8500,okader@scmedcenter.org,,Pomona,CA,91768-3604,-117.7571016,34.0621977
North County Health Project Incorporated,2210 Mesa Dr STE 5,www.nchs-health.org,760-757-5841,beatriz.silvis@nchs-health.org,,Oceanside,CA,92054-3701,-117.3579319,33.20784791
"Cross Timbers Health Clinics, Inc.",104 S Park Dr,http://www.crosstimbersinc.org/,254-893-5895,,,Brownwood,TX,76801-5918,-98.99538024,31.68061922
"Arkansas Verdigris Valley Health Centers, Inc.",607 S Broadway,,918-486-5564,,,Coweta,OK,74429-5000,-95.65042763,35.94560527
SALUD INTEGRAL EN LA MONTANA INC,12 Carr 152,,787-869-5900 x1101,,,Cedro Arriba,PR,719,-66.28340112,18.25914669
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,155 Vanderbilt Ave,,718-616-0999,,,Staten Island,NY,10304-2604,-74.07693,40.62024965
East Tennessee State University,202 W Fairview Av,n/a,423-434-0894,eckertw@etsu.edu,,Johnson City,TN,37604-5611,-82.35719003,36.31917244
International Community Health Services,500 SW 7th St Ste 201,,206-462-7162,doquyenh@ichs.com,,Renton,WA,98057-2983,-122.222463,47.47376753
"Health, Tennessee Dept Of",240 Colonial Cir Ste A,n/a,931-879-9936,constance.eneh@tn.gov,,Jamestown,TN,38556-3924,-84.93039164,36.42384041
